timestamp,vibration_rms,vibration_peak,discharge_pressure,suction_pressure,flow_rate,motor_current,fluid_temp,machine_status,fault_class,rul_hours
2018-04-01 00:00:00,2.465394,2.565284,13.41146,16.13136,158.59375,76.45975,47.09201,NORMAL,0,600.0
2018-04-01 00:01:00,2.465394,2.565284,13.41146,16.13136,158.59375,76.45975,47.09201,NORMAL,0,600.0
2018-04-01 00:02:00,2.444734,2.500062,13.32465,16.03733,159.72223,73.54598,47.35243,NORMAL,0,600.0
2018-04-01 00:03:00,2.460474,2.509521,13.31742,16.24711,157.03125,76.98898,47.09201,NORMAL,0,600.0
2018-04-01 00:04:00,2.445718,2.604785,13.35359,16.21094,159.11458,76.58897,47.13541,NORMAL,0,600.0
2018-04-01 00:05:00,2.453588,2.507935,13.41146,16.16753,159.40393,78.18568,47.09201,NORMAL,0,600.0
2018-04-01 00:06:00,2.455556,2.598702,13.43316,16.13136,158.33333,75.81614,47.04861,NORMAL,0,600.0
2018-04-01 00:07:00,2.449653,2.533115,13.25231,16.12413,157.66783,75.77331,47.13541,NORMAL,0,600.0
2018-04-01 00:08:00,2.463426,2.52659,13.28848,16.13136,157.9861,74.58916,47.09201,NORMAL,0,600.0
2018-04-01 00:09:00,2.445718,2.630246,13.38252,16.24711,160.44557,74.57428,47.17882,NORMAL,0,600.0
2018-04-01 00:10:00,2.46441,2.575479,13.41146,16.16753,159.43285,76.05148,47.48264,NORMAL,0,600.0
2018-04-01 00:11:00,2.444734,2.506268,13.41146,16.16753,158.91205,74.58654,47.91666,NORMAL,0,600.0
2018-04-01 00:12:00,2.460474,2.516371,13.34635,16.16753,157.52315,76.95988,48.26389,NORMAL,0,600.0
2018-04-01 00:13:00,2.448669,2.523123,13.31742,16.16753,159.66435,75.6731,48.4375,NORMAL,0,600.0
2018-04-01 00:14:00,2.453588,2.619585,13.38976,16.13136,158.10185,80.65949,48.56771,NORMAL,0,600.0
2018-04-01 00:15:00,2.455556,2.596343,13.35359,16.21094,160.59027,78.13193,48.3941,NORMAL,0,600.0
2018-04-01 00:16:00,2.449653,2.563261,13.30295,16.16753,157.5521,77.89381,48.3941,NORMAL,0,600.0
2018-04-01 00:17:00,2.463426,2.513459,13.34635,16.16753,160.90857,77.30572,48.4809,NORMAL,0,600.0
2018-04-01 00:18:00,2.445718,2.475125,13.34635,16.21094,158.24652,76.66199,48.61111,NORMAL,0,600.0
